,IP,serverid
11889_36,11889_36,38.0
11901_227,11901_227,42.0
11907_123,11907_123,37.0
11920_65,11920_65,70.0
11922_90,11922_90,39.0
11922_96,11922_96,5.0
11923_28,11923_28,15.0
11925_110,11925_110,18.0
11926_102,11926_102,4.0
11927_84,11927_84,3.0
11933_232,11933_232,52.0
11936_85,11936_85,83.0
11945_182,11945_182,36.0
11952_193,11952_193,13.0
11953_211,11953_211,2.0
11958_36,11958_36,50.0
11958_84,11958_84,32.0
11959_75,11959_75,32.0
11959_76,11959_76,49.0
11960_114,11960_114,19.0
11961_45,11961_45,32.0
11963_166,11963_166,44.0
11967_252,11967_252,6.0
11972_209,11972_209,20.0
11975_138,11975_138,83.0
11975_139,11975_139,71.0
11975_88,11975_88,83.0
11986_78,11986_78,78.0
11997_24,11997_24,27.0
11998_2,11998_2,58.0
12000_238,12000_238,22.0
12002_76,12002_76,3.0
12018_199,12018_199,43.0
12022_13,12022_13,29.0
12024_112,12024_112,40.0
12034_28,12034_28,72.0
12035_85,12035_85,81.0
12037_194,12037_194,35.0
12040_80,12040_80,70.0
12045_56,12045_56,12.0
12050_200,12050_200,10.0
12055_225,12055_225,5.0
12056_135,12056_135,72.0
12056_136,12056_136,12.0
12056_21,12056_21,17.0
12059_15,12059_15,44.0
12059_217,12059_217,34.0
12059_4,12059_4,79.0
12059_7,12059_7,80.0
12060_105,12060_105,49.0
12060_132,12060_132,24.0
12060_97,12060_97,50.0
12082_254,12082_254,19.0
12087_130,12087_130,26.0
12087_137,12087_137,0.0
12088_61,12088_61,13.0
12090_156,12090_156,20.0
12097_2,12097_2,11.0
12106_44,12106_44,13.0
12109_124,12109_124,50.0
12110_204,12110_204,29.0
12116_204,12116_204,8.0
12116_210,12116_210,7.0
12117_157,12117_157,48.0
12118_143,12118_143,71.0
12120_66,12120_66,76.0
12121_166,12121_166,27.0
12125_83,12125_83,53.0
12126_56,12126_56,79.0
12128_22,12128_22,84.0
12134_238,12134_238,67.0
12136_104,12136_104,68.0
12137_82,12137_82,82.0
12145_75,12145_75,55.0
12149_203,12149_203,43.0
12160_0,12160_0,76.0
12160_8,12160_8,67.0
12161_247,12161_247,11.0
12163_40,12163_40,60.0
12166_169,12166_169,4.0
12167_206,12167_206,28.0
12171_98,12171_98,63.0
12173_176,12173_176,60.0
12175_80,12175_80,58.0
12176_104,12176_104,56.0
12187_131,12187_131,16.0
12191_51,12191_51,33.0
12193_11,12193_11,61.0
12193_229,12193_229,74.0
12198_161,12198_161,45.0
12198_251,12198_251,82.0
12201_104,12201_104,68.0
12202_86,12202_86,11.0
12214_198,12214_198,38.0
12217_58,12217_58,76.0
12218_42,12218_42,12.0
12229_180,12229_180,38.0
12236_45,12236_45,3.0
12244_225,12244_225,19.0
12246_8,12246_8,5.0
12249_120,12249_120,24.0
12262_37,12262_37,59.0
12273_12,12273_12,47.0
12276_69,12276_69,26.0
12312_94,12312_94,11.0
12319_26,12319_26,38.0
12320_133,12320_133,68.0
12321_78,12321_78,48.0
12322_134,12322_134,64.0
12325_190,12325_190,23.0
12328_100,12328_100,66.0
12329_36,12329_36,13.0
12331_37,12331_37,73.0
12333_174,12333_174,38.0
12340_202,12340_202,8.0
12348_252,12348_252,54.0
12350_210,12350_210,28.0
12357_135,12357_135,39.0
12357_32,12357_32,12.0
12358_160,12358_160,78.0
12360_118,12360_118,40.0
12361_8,12361_8,34.0
12362_13,12362_13,61.0
12366_163,12366_163,65.0
12367_130,12367_130,35.0
12388_0,12388_0,64.0
12392_5,12392_5,46.0
12393_60,12393_60,59.0
12401_35,12401_35,83.0
12419_138,12419_138,64.0
12421_98,12421_98,33.0
12422_137,12422_137,62.0
12423_138,12423_138,26.0
12426_132,12426_132,67.0
12427_140,12427_140,24.0
12429_21,12429_21,16.0
12430_107,12430_107,78.0
12433_172,12433_172,55.0
12435_228,12435_228,6.0
12436_38,12436_38,59.0
12438_69,12438_69,80.0
12441_103,12441_103,35.0
12441_104,12441_104,45.0
12441_74,12441_74,45.0
12442_225,12442_225,67.0
12443_229,12443_229,28.0
12445_115,12445_115,63.0
12446_169,12446_169,35.0
12451_79,12451_79,12.0
12452_254,12452_254,53.0
12453_230,12453_230,37.0
12454_24,12454_24,62.0
12468_100,12468_100,18.0
12468_200,12468_200,34.0
12469_84,12469_84,39.0
12473_100,12473_100,53.0
12476_73,12476_73,65.0
12481_68,12481_68,47.0
12486_238,12486_238,1.0
12486_30,12486_30,43.0
12488_249,12488_249,40.0
12490_16,12490_16,34.0
12496_76,12496_76,39.0
12497_14,12497_14,69.0
12497_172,12497_172,9.0
12505_140,12505_140,19.0
12505_241,12505_241,35.0
12507_83,12507_83,31.0
12511_111,12511_111,76.0
12513_162,12513_162,12.0
12514_131,12514_131,22.0
12515_89,12515_89,51.0
12517_242,12517_242,65.0
12521_103,12521_103,38.0
12531_34,12531_34,49.0
12542_98,12542_98,57.0
12543_14,12543_14,35.0
12545_132,12545_132,51.0
12546_253,12546_253,9.0
12551_227,12551_227,65.0
12555_252,12555_252,13.0
12555_254,12555_254,5.0
12566_169,12566_169,74.0
12568_7,12568_7,65.0
12581_154,12581_154,42.0
12584_227,12584_227,21.0
12587_58,12587_58,56.0
12596_9,12596_9,64.0
12608_178,12608_178,82.0
12612_47,12612_47,38.0
12613_98,12613_98,30.0
12627_143,12627_143,78.0
12630_33,12630_33,67.0
12631_195,12631_195,69.0
12635_42,12635_42,65.0
12636_28,12636_28,52.0
12640_85,12640_85,81.0
12641_22,12641_22,79.0
12656_121,12656_121,77.0
12661_217,12661_217,15.0
12662_190,12662_190,72.0
12665_104,12665_104,80.0
12666_224,12666_224,78.0
12668_118,12668_118,72.0
12671_104,12671_104,75.0
12673_226,12673_226,80.0
12674_71,12674_71,6.0
12677_27,12677_27,67.0
12681_172,12681_172,43.0
12685_235,12685_235,4.0
12685_236,12685_236,10.0
12686_179,12686_179,57.0
12686_219,12686_219,73.0
12686_229,12686_229,78.0
12686_69,12686_69,76.0
12687_11,12687_11,56.0
12688_140,12688_140,13.0
12689_230,12689_230,52.0
12690_174,12690_174,44.0
12691_118,12691_118,4.0
12692_131,12692_131,14.0
12694_95,12694_95,52.0
12695_109,12695_109,59.0
12698_169,12698_169,46.0
12700_240,12700_240,51.0
12701_55,12701_55,34.0
12703_99,12703_99,14.0
12704_85,12704_85,56.0
12705_173,12705_173,19.0
12712_50,12712_50,3.0
12715_146,12715_146,24.0
12716_136,12716_136,20.0
12720_6,12720_6,73.0
12729_199,12729_199,23.0
12730_109,12730_109,52.0
12730_243,12730_243,72.0
12730_253,12730_253,57.0
12732_79,12732_79,22.0
12733_147,12733_147,1.0
12734_177,12734_177,79.0
12741_217,12741_217,54.0
12741_69,12741_69,15.0
12746_165,12746_165,7.0
12752_16,12752_16,26.0
12757_135,12757_135,65.0
12767_209,12767_209,72.0
12768_15,12768_15,26.0
12773_164,12773_164,78.0
12774_102,12774_102,37.0
12775_132,12775_132,47.0
12779_125,12779_125,71.0
12779_157,12779_157,52.0
12779_27,12779_27,79.0
12783_18,12783_18,8.0
12785_5,12785_5,67.0
12790_39,12790_39,57.0
12800_28,12800_28,55.0
12803_143,12803_143,21.0
12817_196,12817_196,3.0
12822_36,12822_36,61.0
12822_60,12822_60,67.0
12823_18,12823_18,1.0
12823_22,12823_22,39.0
12824_70,12824_70,44.0
12825_75,12825_75,11.0
12826_86,12826_86,75.0
12828_239,12828_239,57.0
12829_216,12829_216,37.0
12830_140,12830_140,27.0
12832_82,12832_82,15.0
12833_66,12833_66,57.0
12841_11,12841_11,45.0
12843_200,12843_200,52.0
12844_103,12844_103,72.0
12850_83,12850_83,75.0
12867_96,12867_96,71.0
